[21:49:52] [INFO] received Windows console close event; shutting log-core down
[21:51:25] [INFO] received Windows console close event; shutting log-core down
[21:57:01] [INFO] received Windows console close event; shutting log-core down
[21:59:07] [INFO] received Windows console close event; shutting log-core down
[22:07:39] [INFO] received Windows console close event; shutting log-core down
[22:11:17] [INFO] received Windows console close event; shutting log-core down
[22:13:10] [INFO] received Windows console close event; shutting log-core down
[23:20:55] [INFO] received Windows console close event; shutting log-core down
[23:35:51] [INFO] received Windows console close event; shutting log-core down
[23:38:30] [INFO] received Windows console close event; shutting log-core down
[00:28:22] [INFO] received Windows console close event; shutting log-core down
[03:14:12] [INFO] received Windows console close event; shutting log-core down
[03:45:18] [INFO] received Windows console close event; shutting log-core down
[03:47:32] [INFO] received Windows console close event; shutting log-core down
[03:47:49] [INFO] received Windows console close event; shutting log-core down
[03:50:07] [INFO] received Windows console close event; shutting log-core down
[03:51:29] [INFO] received Windows console close event; shutting log-core down
[03:52:11] [INFO] received Windows console close event; shutting log-core down
[03:55:57] [INFO] received Windows console close event; shutting log-core down
[13:00:53] [INFO] received Windows console close event; shutting log-core down
[13:07:41] [INFO] received Windows console close event; shutting log-core down
[13:07:41] [INFO] received Windows console close event; shutting log-core down
[13:11:01] [INFO] received Windows console close event; shutting log-core down
[13:12:41] [INFO] received Windows console close event; shutting log-core down
[13:16:39] [INFO] received Windows console close event; shutting log-core down
[13:16:39] [INFO] received Windows console close event; shutting log-core down
[13:31:12] [INFO] received Windows console close event; shutting log-core down
[13:33:20] [INFO] received Windows console close event; shutting log-core down
[13:44:09] [INFO] received Windows console close event; shutting log-core down
[13:46:41] [INFO] received Windows console close event; shutting log-core down
[13:48:32] [INFO] received Windows console close event; shutting log-core down
[13:50:39] [INFO] received Windows console close event; shutting log-core down
[13:53:56] [INFO] received Windows console close event; shutting log-core down
[13:56:46] [INFO] received Windows console close event; shutting log-core down
[14:00:04] [INFO] received Windows console close event; shutting log-core down
[14:03:36] [INFO] received Windows console close event; shutting log-core down
[14:04:17] [INFO] received Windows console close event; shutting log-core down
[14:06:52] [INFO] received Windows console close event; shutting log-core down
[14:08:07] [INFO] received Windows console close event; shutting log-core down
[14:08:42] [INFO] received Windows console close event; shutting log-core down
[14:08:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[14:10:28] [INFO] received Windows console close event; shutting log-core down
[14:21:12] [INFO] received Windows console close event; shutting log-core down
[14:43:32] [INFO] received Windows console close event; shutting log-core down
